phrase,meaning_ja,example_sentence,translated_sentence,source_url,error,deepl_filled_fields
become visible,現れる、現われる、表れる、顕れる、表われる,The results of the experiment will become visible in the coming weeks.,実験の結果は今後数週間で明らかになるだろう。,https://ejje.weblio.jp/content/become%20visible,,
become widespread,花開く、花ひらく、華開く、華ひらく、行き渡る、〈広まる〉・普及する,Digital payment systems have become widespread globally in recent years.,デジタル決済システムは近年、世界中で普及している。,https://ejje.weblio.jp/content/become%20widespread,,
become a source of,～の源となる,Renewable energy is expected to become a major source of power.,再生可能エネルギーは主要な電力源になると期待されている。,https://ejje.weblio.jp/content/become%20a%20source%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/become%20a%20source%20of,meaning_ja
become the focus of,注目を集める,Environmental issues have become the focus of international policy discussions.,環境問題は国際的な政策議論の焦点となっている。,https://ejje.weblio.jp/content/become%20the%20focus%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/become%20the%20focus%20of,meaning_ja
begin a process,プロセスを開始する,The committee will begin a process of reviewing all submitted proposals.,委員会は提出されたすべての提案を審査するプロセスを開始する。,https://ejje.weblio.jp/content/begin%20a%20process,404 Client Error: 404 for url: https://ejje.weblio.jp/content/begin%20a%20process,meaning_ja
behave differently,異なる振る舞いをする,Materials at the nanoscale often behave differently than their bulk counterparts.,ナノスケールの材料は、そのバルク体とは異なる振る舞いをすることがよくある。,https://ejje.weblio.jp/content/behave%20differently,404 Client Error: 404 for url: https://ejje.weblio.jp/content/behave%20differently,meaning_ja
beneficial effect,有益作用; 好影響; 有益効果; 薬効,Regular exercise has a beneficial effect on overall physical and mental health.,定期的な運動は、全体的な身体的・精神的健康に良い影響を与える。,https://ejje.weblio.jp/content/beneficial%20effect,,
"best described as, in terms of",次のように表現するのが最も適切でしょう、つまり,"The current economic situation could be best described as volatile, in terms of market stability.",現在の経済状況は、市場の安定性という点では、不安定と表現するのが最も適切でしょう。,https://ejje.weblio.jp/content/best%20described%20as%2C%20in%20terms%20of,404 Client Error: 404 for url: https://ejje.weblio.jp/content/best%20described%20as%2C%20in%20terms%20of,meaning_ja
binary opposition,二項対立,Many philosophical theories explore the concept of binary opposition in thought.,多くの哲学的理論は、思考における二項対立の概念を探求している。,https://ejje.weblio.jp/content/binary%20opposition,,meaning_ja
binary system,二進法,Computers rely on a binary system to process and store information efficiently.,コンピュータは情報を効率的に処理・保存するために二進法に依存している。,https://ejje.weblio.jp/content/binary%20system,,
biological evolution,生物進化、生物学的進化,The study of biological evolution helps us understand the diversity of life.,生物進化の研究は、生命の多様性を理解するのに役立つ。,https://ejje.weblio.jp/content/biological%20evolution,,
biological science,生物科学,Advances in biological science have led to significant medical breakthroughs.,生物科学の進歩は、重要な医学的ブレークスルーにつながった。,https://ejje.weblio.jp/content/biological%20science,,
biological sex,生物学的性。個人を女性、男性、インターセックスかを区別するために用いられる、染色体、ホルモン、および解剖学上の特性を指す,The distinction between biological sex and gender identity is increasingly discussed.,生物学的性と性自認の区別は、ますます議論されている。,https://ejje.weblio.jp/content/biological%20sex,,
brief account,略叙,The report provides a brief account of the project's initial findings.,その報告書は、プロジェクトの初期調査結果に関する簡単な記述を提供している。,https://ejje.weblio.jp/content/brief%20account,,
brief description,概要、簡単な説明,Please provide a brief description of your research proposal in the abstract.,抄録にあなたの研究提案の簡単な説明を記載してください。,https://ejje.weblio.jp/content/brief%20description,,
brief discussion,頭出し、頭だし,We will have a brief discussion on the implications of the new data.,新しいデータの意味合いについて簡単に議論する予定だ。,https://ejje.weblio.jp/content/brief%20discussion,,
